Iteration,Time(ms),Cost
527000,393234,11717.0
528000,393896,11717.0
529000,394673,11717.0
530000,395441,11717.0
531000,396127,11717.0
532000,396826,11717.0
533000,397528,11717.0
534000,398224,11637.0
535000,398904,11617.0
536000,399757,11447.0
537000,400519,11397.0
538000,401156,11397.0
539000,401942,11397.0
540000,402636,11397.0
541000,403360,11397.0
542000,404068,11397.0
543000,404765,11457.0
544000,405434,11457.0
545000,406141,11457.0
546000,406812,11457.0
547000,407484,11363.0
548000,408175,11363.0
549000,408886,11544.0
550000,409604,11544.0
551000,410262,11544.0
552000,410975,11544.0
553000,411683,11544.0
554000,412425,11544.0
555000,413155,11544.0
556000,413831,11542.0
557000,414569,11542.0
558000,415340,11542.0
559000,416096,11542.0
560000,416756,11542.0
561000,417537,11542.0
562000,418237,11528.0
563000,418920,11528.0
564000,419619,11507.0
565000,420330,11507.0
566000,420983,11507.0
567000,421751,11507.0
568000,422477,11495.0
569000,423118,11495.0
570000,423792,11495.0
571000,424514,11481.0
572000,425204,11481.0
573000,425877,11481.0
574000,426577,11481.0
575000,427269,11411.0
576000,427961,11411.0
577000,428718,11411.0
578000,429444,11396.0
579000,430158,11396.0
580000,430915,11396.0
581000,431650,11395.0
582000,432296,11364.0
583000,433091,11364.0
584000,433934,11364.0
585000,434687,11364.0
586000,435368,11364.0
587000,436119,11364.0
588000,436834,11348.0
589000,437625,11348.0
590000,438350,11348.0
591000,439119,11348.0
592000,439866,11348.0
593000,440633,11348.0
594000,441392,11348.0
595000,442134,11338.0
596000,442916,11314.0
597000,443647,11314.0
598000,444329,11314.0
599000,445081,11313.0
600000,445836,11298.0
601000,446532,11253.0
602000,447216,11253.0
603000,447982,11253.0
604000,448669,11234.0
605000,449441,11234.0
606000,450240,11234.0
607000,451129,11174.0
608000,451775,11123.0
609000,452505,11122.0
610000,453229,11121.0
611000,454013,11121.0
612000,454946,11086.0
613000,455670,11086.0
614000,456370,11381.0
615000,457051,11381.0
616000,457814,11716.0
617000,458479,11716.0
618000,459217,11711.0
619000,460068,11681.0
620000,460757,11662.0
621000,461482,11707.0
622000,462236,11707.0
623000,462964,11707.0
624000,463685,11707.0
625000,464514,11577.0
626000,465299,11577.0
627000,466058,11577.0
628000,466927,11557.0
629000,467792,11747.0
630000,468568,11731.0
631000,469342,11716.0
632000,470164,11700.0
633000,470923,12005.0
634000,471695,12005.0
635000,472439,12004.0
636000,473119,11934.0
637000,473894,11775.0
638000,474591,11775.0
639000,475290,12026.0
640000,476244,12026.0
641000,476999,12026.0
642000,477779,11846.0
643000,478510,11827.0
644000,479165,11827.0
645000,479878,11816.0
646000,480559,11816.0
647000,481235,11816.0
648000,481906,11816.0
649000,482563,11815.0
650000,483280,11815.0
651000,483960,11785.0
652000,484843,11770.0
653000,485670,11585.0
654000,486482,11584.0
655000,487382,11583.0
656000,488250,11569.0
657000,489075,11569.0
658000,489932,11569.0
659000,490740,11569.0
660000,491536,11554.0
661000,492305,11443.0
662000,493103,11353.0
663000,493860,11353.0
664000,494646,11353.0
665000,495409,11352.0
666000,496097,11352.0
667000,496832,11352.0
668000,497577,11352.0
669000,498349,11338.0
670000,499062,11338.0
671000,499851,11338.0
672000,500643,11248.0
673000,501372,11248.0
674000,502108,11234.0
675000,502797,11143.0
676000,503561,11053.0
677000,504320,11053.0
678000,505094,11053.0
679000,505880,11053.0
680000,506677,11019.0
681000,507424,11019.0
682000,508192,11019.0
683000,508972,10950.0
684000,509742,11161.0
685000,510452,11160.0
686000,511299,11220.0
687000,512023,11176.0
688000,512744,11176.0
689000,513529,11156.0
690000,514241,11156.0
691000,515115,11146.0
692000,515946,11146.0
693000,516649,11145.0
694000,517391,11145.0
695000,518128,11116.0
696000,518823,11116.0
697000,519509,11106.0
698000,520250,11106.0
699000,520976,11106.0
700000,521660,11136.0
701000,522375,11111.0
702000,523128,11111.0
703000,523804,11111.0
704000,524491,11111.0
705000,525312,11070.0
706000,526075,11068.0
707000,526813,11068.0
708000,527556,11023.0
709000,528244,10964.0
710000,528907,10964.0
711000,529602,10933.0
712000,530354,10933.0
713000,531034,10931.0
714000,531745,10931.0
715000,532481,10931.0
716000,533135,10931.0
717000,533806,10931.0
718000,534550,10930.0
719000,535264,10930.0
720000,535946,10930.0
721000,536727,10929.0
722000,537455,10929.0
723000,538134,10929.0
724000,538826,10929.0
725000,539678,10929.0
726000,540429,10928.0
727000,541119,10928.0
728000,541856,10928.0
729000,542560,10928.0
730000,543234,10928.0
731000,544019,10927.0
732000,544760,10908.0
733000,545490,10908.0
734000,546267,10908.0
735000,547098,10908.0
736000,547963,10908.0
737000,548772,10908.0
738000,549512,10879.0
739000,550386,10879.0
740000,551161,10785.0
741000,551848,10785.0
742000,552529,10785.0
743000,553219,10785.0
744000,553915,10775.0
745000,554594,10775.0
746000,555344,10775.0
747000,556171,10775.0
748000,556904,10775.0
749000,557674,10761.0
750000,558452,10761.0
751000,559172,10761.0
752000,559939,10761.0
753000,560755,10761.0
754000,561562,10761.0
755000,562448,10761.0
756000,563364,10761.0
757000,564232,10761.0
758000,565032,10746.0
759000,565740,10746.0
760000,566497,10745.0
761000,567312,10745.0
762000,568061,10745.0
763000,568842,10745.0
764000,569647,10745.0
765000,570403,10745.0
766000,571136,10744.0
767000,571879,10703.0
768000,572618,10703.0
769000,573335,10703.0
770000,574033,10703.0
771000,574844,10703.0
772000,575529,10703.0
773000,576236,10699.0
774000,576994,10699.0
775000,577753,10699.0
776000,578466,10698.0
777000,579236,10698.0
778000,580087,10698.0
779000,580747,10698.0
780000,581516,10698.0
781000,582165,10698.0
782000,582820,10698.0
783000,583519,10698.0
784000,584262,10628.0
785000,585029,10628.0
786000,585706,10628.0
787000,586432,10628.0
788000,587120,10628.0
789000,587819,10614.0
790000,588643,10614.0
791000,589406,10610.0
792000,590176,10580.0
793000,590957,10580.0
794000,591675,10580.0
795000,592368,10580.0
796000,593111,10580.0
797000,593789,10580.0
798000,594894,10580.0
799000,595681,10580.0
800000,596483,10566.0
801000,597242,10525.0
802000,597958,10525.0
803000,598731,10525.0
804000,599622,10406.0
